Unnamed: 0,STT,SMILES,CID,AVG_IC50_uM,FIRST_LABEL,FINAL_LABEL,DUPLICATE_COUNTS
575,575,CC(=O)NC1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)F)N,72734382,1.15,Active,0.0,1
194,194,CN(C)S(=O)(=O)C1=CC=C(C2=NON=C12)NCCCCCCC(=O)NO,156021695,0.2065,Active,1.0,2
339,339,C1CN=C2C3=C(C=CC=C3I)SC(=S)N2C1,155515864,8.1,Active,0.0,1
310,310,CC1=CC(=CC(=C1)C(=O)N(CCCCCC(=O)NC2=CC=CC=C2N)CC(=O)NCC3=CC=CC=C3)C,155531533,1.6,Active,0.0,1
740,740,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)C(F)(F)F,9882812,1.4,Active,0.0,1
13,13,C1=CC=C(C=C1)N2C(=NN=C2SCCCCCC(=O)O)C3=CC=NC=C3,164621264,0.64,Active,1.0,1
493,493,C1COCCN1C2=NC(=NC=C2Cl)NC3=CN(N=C3)CCCCCCC(=O)NO,141728811,0.037,Active,1.0,1
223,223,CCC(=O)CCCCC[C@@H](C1=NC(=NN1)C2=CC3=CC=CC=C3N=C2OC)NC(=O)[C@H]4CC45CCN(CC5)CC,156013627,0.103,Active,1.0,1
692,692,COC1=CC=C(C=C1)NC(=O)C(CCCCCC(=O)NO)OCC2=CC=CC=C2,25066140,0.5,Active,1.0,1
546,546,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNCC3=NC(=NO3)C4=CC=C(C=C4)C(F)(F)F,118735149,5.93,Active,0.0,1
92,92,C1=CC=C(C=C1)C2=CC3=C(C=C2)C(=NN3)NC(=O)CCCCCCC(=O)NO,162664613,0.0131,Active,1.0,1
125,125,CCC(=O)CCCCC[C@@H](C1=NC=C(N1)C2=C(C=C3C=C(OC3=C2)C(=O)OCC)OC)NC(=O)[C@H]4CC45CCN(CC5)CC,162657089,0.0091,Active,1.0,1
114,114,C1CN(CCC12CCN(C2)CC3=CNC4=CC=CC=C43)C5=NC=C(C=N5)C(=O)NO.Cl,162659127,0.0018,Active,1.0,1
678,678,C1=CC(=CC=C1/C=C/C(=O)NO)C2=CC3=C(C=C2)NC=C3,42632491,1.2,Active,0.0,1
757,757,CC1=CC=C(C=C1)C2=NN(C=C2C=CC(=O)NC3=CC=CC=C3)C4=CC=CC=C4,2173124,8.75,Active,0.0,1
