STT,SMILES,CID,AVG_IC50_uM,FIRST_LABEL,FINAL_LABEL,DUPLICATE_COUNTS
769,C1=CC=C(C=C1)C2=C(C(=O)N(N2)C3=NC(=CS3)C4=CC=C(C=C4)C(=O)O)N=NC5=NC=CS5,137353054,,Unspecified,Inactive,1
769,C1CN=C2C3=C(C=C(C=C3)Br)SC(=S)N2C1,129104183,,Unspecified,Inactive,1
660,C1=CC(=CC=C1C2=NOC(=N2)CCCCCCC(=O)C(F)(F)F)C(F)(F)F,46187889,2.79,Active,Inactive,1
769,C1=CC=C(C=C1)[C@@H](C(=O)NC2=CC=C(C=C2)F)NS(=O)(=O)C3=CC=CC(=C3)C(=O)NO,145973218,,Unspecified,Inactive,1
769,C1CN=C2C3=C(C=CC=C3Br)SC(=S)N2C1,135367138,,Unspecified,Inactive,1
244,C1=CC(=CC=C1N2C=CC(=N2)[C@H](CCCCCC(=O)C3=NOC=C3)N)F,155925021,0.743,Active,Active,2
299,CCCN(CCC)NC(=O)C=CC1=CC=C(C=C1)CNCCC2=C(NC3=CC=CC=C32)C.C(=O)(C(F)(F)F)O,155539714,1.366,Active,Inactive,1
381,CN1CC(C1)C(=O)N[C@@H](CCCCCC(=O)C2=NOC=C2)C3=NN=C(O3)C4=CC=CC=C4F,146317278,1.1005,Active,Inactive,2
296,CCCCOC1=CC=C(C=C1)C(=O)NOCC2=CC=C(C=C2)/C=C/C(=O)NO,155542624,5.3,Active,Inactive,2
49,C1=CC=C(C=C1)C2=C(C(=O)N(N2)C3=NC(=CS3)C4=CC=C(C=C4)OCCCCC(=O)NO)N=NC5=NC=CS5,162675394,0.1185,Active,Active,1
721,C1=CC(=CC=C1/C=C/C(=O)NO)C2=CC(=C(C=C2)O)Cl,15986507,0.46,Active,Active,1
769,CC(C)(C)NC1=C(N=C2N1C=CC=C2)C3=CC=C(C=C3)C4=NOC(=N4)C(F)(F)F,164611293,,Unspecified,Inactive,1
541,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNCC3=NC(=NO3)C4=CN=CC=C4,118735154,8.37,Active,Inactive,1
342,CN(C)C1=CC=C(C=C1)C(=O)N(CCCCCC(=O)NC2=CC=CC=C2N)CC(=O)NCC3=CC=CC=C3,155514532,1.24,Active,Inactive,1
769,C1CN=C2C3=C(C=CC(=C3)F)SC(=S)N2C1,129104227,,Unspecified,Inactive,1
533,C1CC2=C(C=CC(=C2)Cl)N(C1)CC3=CC=C(C=C3)C(=O)NO,130345472,0.282,Active,Active,1
655,C1=CC(=CC=C1CNCC2=NC(=NO2)C3=CC=C(C=C3)Cl)C(=O)NO,46190557,8.52,Active,Inactive,1
769,C1CCC(CC1)C(=O)NO,3432579,,Unspecified,Inactive,1
587,COC1=CC=C(C=C1)C2=NN(C=C2C=CC(=O)NC3=CC=C(C=C3)Cl)C4=CC=CC=C4,70694591,2.36,Active,Inactive,1
572,C1=CC=C(C=C1)C2=CC=C(C=C2)C=NNC(=O)CCCCCCC(=O)NO,73707349,0.001,Active,Active,1
33,COC1=CC2=C(C=C1)S(=O)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO,164611961,1.93,Active,Inactive,1
31,C1C(=O)N(C(=O)N1CC2=CC=C(C=C2)Cl)CC3=CC=C(C=C3)C(=O)NO,164613482,1.082,Active,Inactive,2
741,C1=CC2=C(C=CC(=C2)NC(=O)C(CCCCCN(C=O)O)C(=O)NC3=CC4=C(C=C3)N=CC=C4)N=C1,9848223,0.27,Active,Active,1
192,C1CC2=CC=CC=C2N(C3=C1C=CC(=C3)Cl)CCCNS(=O)(=O)C4=CC=CC(=C4)/C=C/C(=O)NO,156022065,8.48,Active,Inactive,1
350,CC1=C(C(=NO1)C)C2=NC3=C(C4=C(S3)CN(CC4)CCCC(=O)NO)C(=O)N2,155511921,0.282,Active,Active,1
506,C1COC2(C3=C(C=CC(=C3)Cl)N(C2=O)CC(=O)NCC4=CC=C(C=C4)C(=O)NC5=C(C=CC(=C5)C6=CC=CS6)N)OC1,137648171,0.179,Active,Active,1
204,CN(C)S(=O)(=O)C1=CC=C(C2=NON=C12)NCCCCCNC(=O)NCC(=O)NO,156018697,7.58,Active,Inactive,1
769,CC1=C2C(=CC=C1)SC(=S)N3C2=NCC3,155568350,,Unspecified,Inactive,1
570,CC1=CC=CC=C1C2=CC=C(C=C2)C=NNC(=O)CCCCCC(=O)NO,73707536,0.0188,Active,Active,1
717,CC(=O)CCCCCC(C1=NC=C(N1)C2=CC3=CC=CC=C3C=C2)NC(=O)C4CCN(CC4)C,16049824,0.029,Active,Active,1
