,ID,SMILES,IC50 (uM)
0,5311,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,0.035
1,444732,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,0.096
2,3121,CCCC(CCC)C(=O)O,102.74
3,164609075,C1=CC=C(C=C1)N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NO)C4=CC=NC=C4,9.76
4,164610004,CCN1C(=NN=C1SCCCCCC(=O)NC2=CC=CC=C2N)C3=CC=NC=C3,27.13
5,164611431,CN1C(=NN=C1SCCCCCC(=O)NO)C2=CC=NC=C2,0.09
6,164613059,CN1C(=NN=C1SCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3N)C4=CC=NC=C4,12.97
7,164613288,C=CCN1C(=NN=C1SCCCCCC(=O)O)C2=CC=NC=C2,10.12
8,164614861,CN1C(=NN=C1SCCCCCC(=O)O)C2=CC=NC=C2,7.36
9,164615117,C=CCN1C(=NN=C1SCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3N)C4=CC=NC=C4,1.28
10,164616422,CCN1C(=NN=C1SCCCCCC(=O)O)C2=CC=NC=C2,26.39
11,164617449,CN1C(=NN=C1SCC2=CC=C(C=C2)C(=O)NO)C3=CC=NC=C3,4.35
12,164618088,C=CCN1C(=NN=C1SCCCCCC(=O)NO)C2=CC=NC=C2,11.72
13,164619142,CCN1C(=NN=C1SCCCCCC(=O)NO)C2=CC=NC=C2,28.93
14,164619368,C=CCN1C(=NN=C1SCC2=CC=C(C=C2)C(=O)NO)C3=CC=NC=C3,11.19
15,164619568,CCN1C(=NN=C1SCC2=CC=C(C=C2)C(=O)NO)C3=CC=NC=C3,30.39
16,164621002,C=CCN1C(=NN=C1SCCCCCC(=O)NC2=CC=CC=C2N)C3=CC=NC=C3,1.4
17,164621264,C1=CC=C(C=C1)N2C(=NN=C2SCCCCCC(=O)O)C3=CC=NC=C3,0.64
18,164623524,C1=CC=C(C=C1)N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NC4=CC=CC=C4N)C5=CC=NC=C5,8.39
19,164624585,CN1C(=NN=C1SCCCCCC(=O)NC2=CC=CC=C2N)C3=CC=NC=C3,14.36
20,164627185,C1=CC=C(C=C1)N2C(=NN=C2SCCCCCC(=O)NC3=CC=CC=C3N)C4=CC=NC=C4,38.73
21,164627615,C1=CC=C(C=C1)N2C(=NN=C2SCCCCCC(=O)NO)C3=CC=NC=C3,32.36
