,0
0,158
1,45
2,13
3,159
4,727
5,426
6,386
7,665
8,425
9,15
10,141
11,245
12,138
13,587
14,630
15,638
16,744
17,918
18,637
19,238
20,228
21,416
22,676
23,247
24,166
25,675
26,716
27,59
28,919
29,726
30,580
31,740
32,398
33,737
34,711
35,629
36,419
37,392
38,735
39,8
40,314
41,521
42,525
43,628
44,755
45,524
46,523
47,678
48,457
49,411
50,847
51,276
52,134
53,33
54,26
55,154
56,520
57,519
58,774
59,535
60,540
61,672
62,618
63,812
64,538
65,412
66,696
67,697
68,539
69,623
70,2
71,801
72,36
73,347
74,674
75,534
76,41
77,751
78,243
79,700
80,659
81,887
82,715
83,415
84,115
85,428
86,739
87,103
88,409
89,390
90,648
91,723
92,707
93,157
94,94
95,110
96,814
97,56
98,417
99,420
100,882
101,498
102,544
103,263
104,401
105,888
106,422
107,236
108,537
109,536
110,836
111,196
112,522
113,625
114,620
115,601
116,679
117,895
118,741
119,244
120,643
121,253
122,646
123,60
124,16
125,714
126,393
127,129
128,568
129,718
130,753
131,78
132,721
133,627
134,315
135,640
136,644
137,4
138,658
139,296
140,222
141,636
142,619
143,85
144,86
145,66
146,632
147,319
148,38
149,617
150,0
151,152
152,731
153,246
154,378
155,626
156,82
157,463
158,515
159,526
160,963
161,575
162,926
163,313
164,376
165,469
166,241
167,964
168,834
169,621
170,438
171,647
172,19
173,408
174,208
175,500
176,372
177,435
178,290
179,641
180,456
181,513
182,607
183,673
184,400
185,848
186,391
187,649
188,73
189,1
190,389
191,344
192,183
193,616
194,837
195,527
196,168
197,713
198,957
199,528
200,397
201,543
202,642
203,32
204,864
205,381
206,742
207,720
208,300
209,177
210,579
211,384
212,900
213,639
214,140
215,298
216,383
217,424
218,541
219,387
220,597
221,645
222,188
223,693
224,596
225,722
226,371
227,796
228,427
229,776
230,572
231,690
232,611
233,594
234,407
235,394
236,689
237,503
238,573
239,671
240,577
241,962
242,396
243,380
244,759
245,691
246,333
247,335
248,757
249,259
250,421
251,379
252,206
253,258
254,256
255,365
256,667
257,194
258,230
259,21
260,552
261,598
262,542
263,745
264,382
265,216
266,677
267,156
268,709
269,588
270,7
271,809
272,155
273,279
274,961
275,257
276,187
277,189
278,624
279,175
280,403
281,308
282,960
283,832
284,494
285,304
286,878
287,388
288,342
289,6
290,423
291,612
292,595
293,938
294,126
295,743
296,24
297,547
298,280
299,434
300,234
301,293
302,17
303,530
304,698
305,429
306,430
307,431
308,405
309,404
310,578
311,807
312,815
313,331
314,569
315,204
316,375
317,226
318,604
319,928
320,692
321,805
322,490
323,491
324,492
325,946
326,602
327,123
