,IC50,Xc-4dv,MATS4s,GATS1dv,SdssC,BCUTd-1h,GATS1s,GATS1are,AATSC3d,PEOE_VSA2,AATS4v,AATS4Z,GATS3d,MATS3m,AXp-5dv,EState_VSA4,ETA_eta_L,ATSC5m,RotRatio,SsNH2,ETA_epsilon_5,SlogP_VSA2,MID_N,EState_VSA5,Xc-5dv,JGI5,GATS5pe,AATSC4d
IC50,1.0,0.14577707159089556,0.11437952802833903,0.11174850000763893,0.09957024853981652,0.102867107800124,0.09347617136072381,0.09137696864457391,-0.09288591207797672,-0.09108649967408017,-0.082589356623385,-0.08277103512927382,0.08568018115193944,-0.07062086582123756,0.07980790863286862,0.0787392740580706,0.0675281920679664,0.07114986459127827,-0.06358155212083971,0.05607105325853371,-0.06440859507424351,0.051823411319058654,0.04602578841174604,0.055519938371449855,0.0556528918654591,0.052652606503594886,-0.047520540515499594,0.05749111230344095
Xc-4dv,0.14577707159089556,1.0,0.248022003460627,-0.006968443706759965,0.009077752629747252,0.7366092117679333,0.22951686190638138,-0.0572199450058515,-0.1597796319473407,-0.032555009876317695,-0.12185566552498193,-0.07759950092903183,0.23694973886783482,-0.28570104861023726,0.07755789219677632,-0.11675420996493258,0.2342819285107253,-0.1085469818100914,-0.21791621450619614,-0.15846926082563415,0.13006156595401225,0.1459184967041555,-0.08049847531232711,0.2590414185812874,0.5830603397706161,0.3531394504121114,-0.11275603329967124,0.10111935974444079
MATS4s,0.11437952802833903,0.248022003460627,1.0,0.08835379270507762,0.12290038103797758,0.21980471647945113,0.0883000891123157,0.015558402505654418,-0.24243840020592616,-0.14670494531839767,-0.17603349667920468,-0.19872745254425855,0.22422634432213204,-0.23707049978411804,-0.06095781881269602,0.11502130009771214,-0.047388839022427506,0.07256380467435332,-0.1818163544570902,-0.09223225475220972,-0.0474654608546824,-0.003670480181272363,0.038488053841911354,0.24284830821284828,0.057437785256881244,0.00918521707347422,-0.22898293710253972,-0.019684465071264024
GATS1dv,0.11174850000763893,-0.006968443706759965,0.08835379270507762,1.0,0.4937546125188265,-0.21751446447652154,0.5776370735415927,0.613726391377411,-0.21073989159595033,-0.2024658586923672,-0.21679878236864428,-0.3826134923500841,0.3540234941508098,-0.2798005391756504,0.2353381669247079,0.16402758878721707,-0.0070706862537545144,0.23081839828858994,0.05947852883072885,0.13232032092252735,-0.609372451630959,-0.08019859461167986,-0.15516611475890443,-0.05221549335957977,0.06443586768785274,-0.24179512565585634,-0.1374228964305446,-0.05920206577892677
SdssC,0.09957024853981652,0.009077752629747252,0.12290038103797758,0.4937546125188265,1.0,-0.20094806583782304,0.2299713110495349,0.3740679999028404,-0.02156878526971475,-0.3066428159160056,-0.30678394915788637,-0.4356397345881602,0.1816444722498611,-0.13102346129165793,0.1834136983344402,0.31317337435772424,0.05051390076400614,0.03204062902959206,0.17309408937831158,0.22990083741643927,-0.5185747841028264,-0.19810081379791564,-0.0752171172347168,-0.05040420394109218,0.06204981768445821,-0.29180029359227244,0.0060187087435513865,-0.12065201341645694
BCUTd-1h,0.102867107800124,0.7366092117679333,0.21980471647945113,-0.21751446447652154,-0.20094806583782304,1.0,0.11306701771924049,-0.2699651880455469,-0.25471385556697373,-0.11667031900546376,0.13183969340336135,0.21427433068815513,0.22556530719750822,-0.1373831606151656,-0.04191386073456164,-0.1903737290336872,0.08943398876793814,-0.036269616272989434,-0.41653589599478247,-0.18281616502608244,0.43556686514633564,0.1119157872403827,-0.04122760993341681,0.34979743422973614,0.4870248858796819,0.4523958717681442,-0.18360603413849783,0.003598243448047044
GATS1s,0.09347617136072381,0.22951686190638138,0.0883000891123157,0.5776370735415927,0.2299713110495349,0.11306701771924049,1.0,0.5768935953584375,-0.40853602304492154,-0.3154266760996963,0.08883187465528652,-0.041427827207323624,0.4574149268839862,-0.27104849556496374,-0.16826968514796442,-0.10729335124567396,-0.23291802667596603,0.14035324219473747,-0.20549995560941392,0.17715272940475835,-0.18726840089255992,-0.14187282258849745,-0.10272316248175445,0.04153103236730961,0.2507596810042059,0.18297670272625172,-0.25716313145442565,-0.17309282726302666
GATS1are,0.09137696864457391,-0.0572199450058515,0.015558402505654418,0.613726391377411,0.3740679999028404,-0.2699651880455469,0.5768935953584375,1.0,-0.22281718591780683,-0.2682732153466133,-0.2118776083273644,-0.34129050248409276,0.3513777004635016,-0.24530040209187412,-0.052551923992883456,0.13977492084149293,0.008358977003543164,0.23529979275403062,0.025623025915048163,0.5110100059113423,-0.7020058525234922,0.0001212799913593154,0.1137019741888925,-0.23291934899234812,-0.042286428755910675,-0.21792637741688564,0.059533565658221974,-0.16761461522900956
AATSC3d,-0.09288591207797672,-0.1597796319473407,-0.24243840020592616,-0.21073989159595033,-0.02156878526971475,-0.25471385556697373,-0.40853602304492154,-0.22281718591780683,1.0,0.4076157476001311,-0.037630905374035406,0.07620860273913327,-0.8147379197714532,0.5526634028275929,0.4247284053431763,0.20621421729811873,0.45194602130695266,-0.37900928964437813,0.486455602834664,-0.15640092108675266,0.004666609323870712,0.251380549615689,0.09593567518690066,-0.10430423049939523,-0.07841661572628512,-0.32916279263449055,0.33829059794179345,0.3463629965633438
PEOE_VSA2,-0.09108649967408017,-0.032555009876317695,-0.14670494531839767,-0.2024658586923672,-0.3066428159160056,-0.11667031900546376,-0.3154266760996963,-0.2682732153466133,0.4076157476001311,1.0,0.06633495096013707,0.01795624468816485,-0.2858921067870601,0.1293127206784448,-0.025244862414868542,-0.02410582074113256,0.33508060268698564,-0.14819102027943007,0.12054690847017172,-0.3020975131329517,0.08363294070238717,0.43093059744958684,0.20713873989151216,-0.11827850586979116,-0.012049020986465818,-0.10689569115427218,0.0624201980216293,0.20569610143931732
