,IC50,Xc-4dv,MATS4s,GATS1dv,SdssC,BCUTd-1h,GATS1s,GATS1are,AATSC3d,PEOE_VSA2,AATS4v,AATS4Z,GATS3d,MATS3m,AXp-5dv,EState_VSA4,ETA_eta_L,ATSC5m,RotRatio,SsNH2,ETA_epsilon_5,SlogP_VSA2,MID_N,EState_VSA5,Xc-5dv,JGI5,GATS5pe,AATSC4d
IC50,1,0.145777072,0.114379528,0.1117485,0.099570249,0.102867108,0.093476171,0.091376969,-0.092885912,-0.0910865,-0.082589357,-0.082771035,0.085680181,-0.070620866,0.079807909,0.078739274,0.067528192,0.071149865,-0.063581552,0.056071053,-0.064408595,0.051823411,0.046025788,0.055519938,0.055652892,0.052652607,-0.047520541,0.057491112
Xc-4dv,0.145777072,1,0.248022003,-0.006968444,0.009077753,0.736609212,0.229516862,-0.057219945,-0.159779632,-0.03255501,-0.121855666,-0.077599501,0.236949739,-0.285701049,0.077557892,-0.11675421,0.234281929,-0.108546982,-0.217916215,-0.158469261,0.130061566,0.145918497,-0.080498475,0.259041419,0.58306034,0.35313945,-0.112756033,0.10111936
MATS4s,0.114379528,0.248022003,1,0.088353793,0.122900381,0.219804716,0.088300089,0.015558403,-0.2424384,-0.146704945,-0.176033497,-0.198727453,0.224226344,-0.2370705,-0.060957819,0.1150213,-0.047388839,0.072563805,-0.181816354,-0.092232255,-0.047465461,-0.00367048,0.038488054,0.242848308,0.057437785,0.009185217,-0.228982937,-0.019684465
GATS1dv,0.1117485,-0.006968444,0.088353793,1,0.493754613,-0.217514464,0.577637074,0.613726391,-0.210739892,-0.202465859,-0.216798782,-0.382613492,0.354023494,-0.279800539,0.235338167,0.164027589,-0.007070686,0.230818398,0.059478529,0.132320321,-0.609372452,-0.080198595,-0.155166115,-0.052215493,0.064435868,-0.241795126,-0.137422896,-0.059202066
SdssC,0.099570249,0.009077753,0.122900381,0.493754613,1,-0.200948066,0.229971311,0.374068,-0.021568785,-0.306642816,-0.306783949,-0.435639735,0.181644472,-0.131023461,0.183413698,0.313173374,0.050513901,0.032040629,0.173094089,0.229900837,-0.518574784,-0.198100814,-0.075217117,-0.050404204,0.062049818,-0.291800294,0.006018709,-0.120652013
BCUTd-1h,0.102867108,0.736609212,0.219804716,-0.217514464,-0.200948066,1,0.113067018,-0.269965188,-0.254713856,-0.116670319,0.131839693,0.214274331,0.225565307,-0.137383161,-0.041913861,-0.190373729,0.089433989,-0.036269616,-0.416535896,-0.182816165,0.435566865,0.111915787,-0.04122761,0.349797434,0.487024886,0.452395872,-0.183606034,0.003598243
GATS1s,0.093476171,0.229516862,0.088300089,0.577637074,0.229971311,0.113067018,1,0.576893595,-0.408536023,-0.315426676,0.088831875,-0.041427827,0.457414927,-0.271048496,-0.168269685,-0.107293351,-0.232918027,0.140353242,-0.205499956,0.177152729,-0.187268401,-0.141872823,-0.102723162,0.041531032,0.250759681,0.182976703,-0.257163131,-0.173092827
GATS1are,0.091376969,-0.057219945,0.015558403,0.613726391,0.374068,-0.269965188,0.576893595,1,-0.222817186,-0.268273215,-0.211877608,-0.341290502,0.3513777,-0.245300402,-0.052551924,0.139774921,0.008358977,0.235299793,0.025623026,0.511010006,-0.702005853,0.00012128,0.113701974,-0.232919349,-0.042286429,-0.217926377,0.059533566,-0.167614615
AATSC3d,-0.092885912,-0.159779632,-0.2424384,-0.210739892,-0.021568785,-0.254713856,-0.408536023,-0.222817186,1,0.407615748,-0.037630905,0.076208603,-0.81473792,0.552663403,0.424728405,0.206214217,0.451946021,-0.37900929,0.486455603,-0.156400921,0.004666609,0.25138055,0.095935675,-0.10430423,-0.078416616,-0.329162793,0.338290598,0.346362997
PEOE_VSA2,-0.0910865,-0.03255501,-0.146704945,-0.202465859,-0.306642816,-0.116670319,-0.315426676,-0.268273215,0.407615748,1,0.066334951,0.017956245,-0.285892107,0.129312721,-0.025244862,-0.024105821,0.335080603,-0.14819102,0.120546908,-0.302097513,0.083632941,0.430930597,0.20713874,-0.118278506,-0.012049021,-0.106895691,0.062420198,0.205696101
AATS4v,-0.082589357,-0.121855666,-0.176033497,-0.216798782,-0.306783949,0.131839693,0.088831875,-0.211877608,-0.037630905,0.066334951,1,0.826569213,0.034113688,0.214230169,-0.433342641,-0.218535451,-0.159726671,-0.088639445,-0.507298657,-0.174229494,0.41496029,0.056441821,0.126178617,0.188049594,0.214850122,0.350249104,-0.183407913,-0.125341257
AATS4Z,-0.082771035,-0.077599501,-0.198727453,-0.382613492,-0.435639735,0.214274331,-0.041427827,-0.341290502,0.076208603,0.017956245,0.826569213,1,-0.231519033,0.351364171,-0.178363158,-0.331631836,-0.192764964,-0.239689492,-0.333733793,-0.271749959,0.678012035,0.038117063,0.11714854,0.269891548,0.16012188,0.412617345,0.012367367,0.034318601
GATS3d,0.085680181,0.236949739,0.224226344,0.354023494,0.181644472,0.225565307,0.457414927,0.3513777,-0.81473792,-0.285892107,0.034113688,-0.231519033,1,-0.426040212,-0.323537521,-0.133934268,-0.197726845,0.286525038,-0.38203234,0.145511816,-0.228804059,-0.042901225,-0.095406515,0.038856872,0.288831449,0.176369973,-0.318158447,-0.451179355
MATS3m,-0.070620866,-0.285701049,-0.2370705,-0.279800539,-0.131023461,-0.137383161,-0.271048496,-0.245300402,0.552663403,0.129312721,0.214230169,0.351364171,-0.426040212,1,0.318215313,0.090863628,0.123863483,-0.442228924,0.316755486,-0.102874935,0.230393601,0.045648717,0.006187762,0.022199785,0.093470988,-0.063556347,0.262401995,-0.020334709
AXp-5dv,0.079807909,0.077557892,-0.060957819,0.235338167,0.183413698,-0.041913861,-0.168269685,-0.052551924,0.424728405,-0.025244862,-0.433342641,-0.178363158,-0.323537521,0.318215313,1,0.210755147,0.401525608,-0.288232372,0.519936644,-0.122959725,-0.096367531,0.108552744,-0.2641044,0.089116875,0.171795503,-0.236455288,0.300268863,0.120756915
EState_VSA4,0.078739274,-0.11675421,0.1150213,0.164027589,0.313173374,-0.190373729,-0.107293351,0.139774921,0.206214217,-0.024105821,-0.218535451,-0.331631836,-0.133934268,0.090863628,0.210755147,1,0.35090087,0.105908737,0.234638854,0.072295358,-0.305394761,0.105664001,0.102097295,-0.195593336,0.01068202,-0.21400924,-0.10075985,0.132562543
ETA_eta_L,0.067528192,0.234281929,-0.047388839,-0.007070686,0.050513901,0.089433989,-0.232918027,0.008358977,0.451946021,0.335080603,-0.159726671,-0.192764964,-0.197726845,0.123863483,0.401525608,0.35090087,1,-0.134428304,0.197439425,0.002176797,-0.151543725,0.645092972,0.186999162,0.058242557,0.425819815,-0.164704136,0.133282444,0.245855988
ATSC5m,0.071149865,-0.108546982,0.072563805,0.230818398,0.032040629,-0.036269616,0.140353242,0.235299793,-0.37900929,-0.14819102,-0.088639445,-0.239689492,0.286525038,-0.442228924,-0.288232372,0.105908737,-0.134428304,1,-0.295445006,0.254405611,-0.222881434,-0.033238336,0.129923279,-0.087613533,-0.173863821,-0.0822895,-0.442440524,0.163405267
RotRatio,-0.063581552,-0.217916215,-0.181816354,0.059478529,0.173094089,-0.416535896,-0.205499956,0.025623026,0.486455603,0.120546908,-0.507298657,-0.333733793,-0.38203234,0.316755486,0.519936644,0.234638854,0.197439425,-0.295445006,1,0.014395379,-0.186554044,-0.088888544,-0.116800159,-0.269157513,-0.254694577,-0.422042302,0.339539719,0.082608342
SsNH2,0.056071053,-0.158469261,-0.092232255,0.132320321,0.229900837,-0.182816165,0.177152729,0.511010006,-0.156400921,-0.302097513,-0.174229494,-0.271749959,0.145511816,-0.102874935,-0.122959725,0.072295358,0.002176797,0.254405611,0.014395379,1,-0.493950447,-0.130606618,0.189420418,-0.21841881,-0.101077374,-0.172084123,0.116790561,-0.229683728
ETA_epsilon_5,-0.064408595,0.130061566,-0.047465461,-0.609372452,-0.518574784,0.435566865,-0.187268401,-0.702005853,0.004666609,0.083632941,0.41496029,0.678012035,-0.228804059,0.230393601,-0.096367531,-0.305394761,-0.151543725,-0.222881434,-0.186554044,-0.493950447,1,0.087493805,-0.090389986,0.288251183,0.125677161,0.474710476,-0.116812393,0.106046236
SlogP_VSA2,0.051823411,0.145918497,-0.00367048,-0.080198595,-0.198100814,0.111915787,-0.141872823,0.00012128,0.25138055,0.430930597,0.056441821,0.038117063,-0.042901225,0.045648717,0.108552744,0.105664001,0.645092972,-0.033238336,-0.088888544,-0.130606618,0.087493805,1,0.37273572,0.048208324,0.244203331,-0.011840127,0.022697038,0.191698698
MID_N,0.046025788,-0.080498475,0.038488054,-0.155166115,-0.075217117,-0.04122761,-0.102723162,0.113701974,0.095935675,0.20713874,0.126178617,0.11714854,-0.095406515,0.006187762,-0.2641044,0.102097295,0.186999162,0.129923279,-0.116800159,0.189420418,-0.090389986,0.37273572,1,0.110033605,-0.024187258,-0.11129452,-0.013085621,0.290629389
EState_VSA5,0.055519938,0.259041419,0.242848308,-0.052215493,-0.050404204,0.349797434,0.041531032,-0.232919349,-0.10430423,-0.118278506,0.188049594,0.269891548,0.038856872,0.022199785,0.089116875,-0.195593336,0.058242557,-0.087613533,-0.269157513,-0.21841881,0.288251183,0.048208324,0.110033605,1,0.325890406,0.229134173,-0.289087118,0.14372099
