,nSpiro,C4SP3,GATS8s,n5ARing,SssCH2,nARing,Xpc-5dv,ATSC3d,Xc-4dv,ATSC5d,SMR_VSA4,GATS8se,n5AHRing,MDEC-24,ATSC6v,GATS2d,n6ARing,ATSC3v,nAHRing,ATSC6m,nHRing,ATSC2d,PEOE_VSA7,Xc-3dv,SMR_VSA6,GATS4dv,MATS4s,MAXssCH2
nSpiro,1.0,0.1828217596171788,0.1238911734384778,0.362629721019471,0.19291462552871846,0.3200674967574205,0.2058319506619251,-0.2468436139410103,0.1808524863325101,0.14324328843608494,-0.004471219227262655,0.08525396164799577,0.39264819105834425,0.3413036300274942,0.037780609400093375,0.1828145565670321,0.27989949688538796,-0.211086861267253,0.4504792431242691,0.1364417844402006,0.237581989647593,-0.21075339466787268,0.22515875684739722,0.17291221662042325,0.25908604002760954,-0.1323095340146448,0.13815571847414104,0.15963266960489586
C4SP3,0.1828217596171788,1.0,-0.01183632675064186,0.15729236387403847,0.24741099609711956,0.24960858066876168,0.5009170307816125,-0.24505001440387153,0.6475929574212901,0.034663699149979486,0.39570730620874806,0.0296020187331083,0.049983866051475825,0.3700957539524076,0.16892917420000286,0.47093089343417743,0.3183126489906719,-0.32838048883726906,0.07275612390811553,0.25792611703909024,-0.07917750080297568,-0.20928708381254837,0.3480456952549543,0.5319466873961866,0.016920563539481563,-0.1696161226155296,0.17463361454288642,0.19434502654703134
GATS8s,0.1238911734384778,-0.01183632675064186,1.0,0.054926873107665725,0.10613840762725224,0.00986619068229841,-0.09227998321712005,-0.11909072720761638,0.009009278708456601,0.36279275856795923,-0.057502315900396575,0.9365948578334843,0.060423567109143414,0.04782334886503581,0.3168236436827661,0.09707094731934718,-0.009369217277033954,-0.08255126906810191,0.05844680338125131,0.29795706579901254,0.10079995904946562,-0.16529885140316328,-0.07080030376137261,-0.04868196450609096,0.054169639564690696,-0.13764423302596823,0.1812143166385122,0.07604432124603627
n5ARing,0.362629721019471,0.15729236387403847,0.054926873107665725,1.0,0.12600956244591074,0.5616142062819085,0.4053951524829189,-0.21737068908090987,0.21045141032865547,0.12172920395708973,0.33043961863698673,0.02864779890695528,0.9283588669130377,0.269153793871284,0.05895153232135059,0.14253099248824005,0.13597637486321845,-0.1967230400737313,0.584692893790747,0.09291062921627957,0.228345191121606,-0.06181606255689396,0.25884314831643085,0.30467469480622295,0.15788151223434266,-0.08525121600186697,0.03836048749168836,0.06954321823408884
SssCH2,0.19291462552871846,0.24741099609711956,0.10613840762725224,0.12600956244591074,1.0,0.4116630293281847,0.25569774881628926,0.13600559255158268,0.053539873339623366,0.07602618388622409,0.255820477176957,0.07882439681216022,0.02629169410031338,0.03894670177055291,0.04204136044165507,0.06642418462442133,0.49139104302411596,0.20554166946277438,0.18202489062188207,-0.09212659256434416,0.05385509700933744,0.07504401277604957,0.39200551463312977,0.11093182311132335,0.29309108610063045,-0.20386137546159802,0.21881997254825986,0.822310641579809
nARing,0.3200674967574205,0.24960858066876168,0.00986619068229841,0.5616142062819085,0.4116630293281847,1.0,0.6376464345097689,-0.12494783401839162,0.30553977180216774,0.008068460881586071,0.472391767281872,-0.05457937188215385,0.48206142004202346,0.4583797513376083,-0.06272988773006322,0.26027926551282077,0.707669811611022,-0.10520589097017487,0.7064612909768221,0.026088460474063446,0.3282198182390755,-0.08950223356524209,0.27151519070183394,0.4700132521820244,0.22348567373098402,-0.19714002810055048,0.23730953322812567,0.3321548617223134
Xpc-5dv,0.2058319506619251,0.5009170307816125,-0.09227998321712005,0.4053951524829189,0.25569774881628926,0.6376464345097689,1.0,-0.1691586790494513,0.5402079297203227,0.015119068438169722,0.5001100751832485,-0.0637722848497739,0.2912566445281092,0.5157708659904026,0.01705500218776438,0.2087077576390771,0.49429568216719727,-0.15599059390714692,0.38633521724803976,0.11576054903203216,0.3800999513779246,0.04555763492884022,0.4614887661616733,0.8665130190952289,0.10221155221032292,-0.20463625458647974,0.1292743239483225,0.16769161299288077
ATSC3d,-0.2468436139410103,-0.24505001440387153,-0.11909072720761638,-0.21737068908090987,0.13600559255158268,-0.12494783401839162,-0.1691586790494513,1.0,-0.21629011213588922,-0.4021514261967339,0.023901634534434477,-0.058108710669990654,-0.15801446895795487,-0.409362245189233,-0.35008109791270553,-0.5232703533734693,-0.2956858714951618,0.6835788249102817,-0.10305379330239633,-0.48345241059674154,0.1198945020040852,0.6096167727214764,-0.2676577153919288,-0.10202210224015697,-0.24602917932654456,0.12637693371880637,-0.23257961696170573,0.16234435613058076
Xc-4dv,0.1808524863325101,0.6475929574212901,0.009009278708456601,0.21045141032865547,0.053539873339623366,0.30553977180216774,0.5402079297203227,-0.21629011213588922,1.0,0.05425216650646477,0.25877539714319797,0.0070345803764058894,0.15115631001070487,0.6891814761022222,0.04672850014888304,0.6240010176583023,0.23518787064133218,-0.38586810487283935,0.19229184419926024,0.21919249051972753,0.022512196589596214,-0.2840525554364442,0.23217184279039466,0.764289030518608,-0.05756171871130236,-0.2119219105463341,0.248022003460627,0.04409972409300281
ATSC5d,0.14324328843608494,0.034663699149979486,0.36279275856795923,0.12172920395708973,0.07602618388622409,0.008068460881586071,0.015119068438169722,-0.4021514261967339,0.05425216650646477,1.0,-0.08423017377068975,0.33737243941777645,0.11471093039826975,0.1242420203558246,0.78232227481765,0.2377667926665436,0.17042040036253256,-0.3407616914974301,0.0239371718603986,0.5686314752043767,0.13892924133696902,-0.4431293362116935,0.1268394812461609,0.03112206219343263,-0.012159065810139156,-0.3695713671784782,0.14315027430147517,-0.02678246262698705
