,IC50,AATS0Z,GATS5m,GATS5Z,ATSC5pe,nRot,MAXdssC,VE1_A,ETA_shape_p,ATSC4d,AATS6Z,JGI5,BalabanJ,AATS4p,MAXaaCH,JGI6,AXp-3d,SlogP_VSA2,AMID_h,SM1_Dzse,n9FARing,AATS0m,VSA_EState4,ATSC0s,ATSC1d,ATSC8p,Xc-6d,ATSC8dv,ATSC5are
IC50,1,-0.053944965,-0.053937134,-0.05393595,0.053548309,-0.053272152,0.053182939,0.053028069,-0.05299338,0.052843416,-0.052761325,0.052652607,-0.052407656,-0.052405444,-0.052364835,0.051876879,-0.051869788,0.051823411,-0.051530059,-0.051376394,0.051275398,-0.051059369,0.051000315,-0.050927061,0.0504828,-0.050335188,0.050282269,-0.050161784,0.050003663
AATS0Z,-0.053944965,1,0.003263932,0.008361016,-0.164433464,-0.220099936,-0.291513115,-0.009921903,0.328004434,0.237113966,0.798294061,0.333649497,0.114758486,0.528710376,-0.159003589,0.212492445,-0.137179295,-0.016300712,0.669868822,0.397265887,0.051330519,0.993702128,-0.394315035,0.21502032,-0.269398368,-0.138984382,0.184910736,-0.083683669,-0.168851234
GATS5m,-0.053937134,0.003263932,1,0.998656262,-0.507226265,0.139595124,0.01409669,-0.178612172,0.193123484,-0.179595538,-0.03025069,0.091475142,0.160889678,0.027172645,-0.099265526,0.1252898,0.076877523,-0.099373835,0.13359365,0.068006646,-0.005204423,-0.016907867,-0.178111546,0.140805696,-0.003863517,-0.307194998,0.026629131,-0.05634761,-0.450058137
GATS5Z,-0.05393595,0.008361016,0.998656262,1,-0.495628769,0.141924643,0.014714326,-0.175798385,0.193059494,-0.169425211,-0.023838567,0.092325627,0.153289149,0.026357887,-0.098952821,0.128271025,0.077133946,-0.104469752,0.13169778,0.076059205,-0.003960416,-0.010555645,-0.175535717,0.152265873,-0.00532659,-0.311119705,0.032444133,-0.059334374,-0.439318238
ATSC5pe,0.053548309,-0.164433464,-0.507226265,-0.495628769,1,-0.163574491,-0.11466301,0.11589143,-0.213910424,0.078366189,-0.1017861,-0.088610977,-0.180938965,-0.076885485,0.138757377,-0.079056618,-0.042639682,-0.024148798,-0.217768781,-0.199174438,0.015922774,-0.153801257,0.213457926,-0.189703588,-0.004701101,0.240989003,-0.065701071,-0.144130092,0.993273448
nRot,-0.053272152,-0.220099936,0.139595124,0.141924643,-0.163574491,1,0.371098747,0.032031424,-0.009618028,0.074400994,-0.255386796,-0.381130353,-0.110154032,-0.183810119,0.123126992,-0.205647173,0.255617585,0.215834906,-0.203939688,0.174784719,-0.070008391,-0.204224671,0.187329421,0.178825311,0.218003442,-0.111626105,-0.145625373,-0.185572198,-0.147340439
MAXdssC,0.053182939,-0.291513115,0.01409669,0.014714326,-0.11466301,0.371098747,1,0.040566866,-0.025874811,-0.088877021,-0.303549555,-0.365648605,-0.056064078,-0.098642069,-0.028037597,-0.129879178,0.063386958,0.281853224,-0.383763645,-0.138915748,0.202840492,-0.282119656,0.171713233,-0.017708511,0.259749675,-0.187761902,-0.093691626,0.050658376,-0.093837385
VE1_A,0.053028069,-0.009921903,-0.178612172,-0.175798385,0.11589143,0.032031424,0.040566866,1,-0.044711454,0.213741586,0.239964707,0.083445229,-0.084780854,0.251766149,0.07555867,0.023006416,-0.336124448,0.447642106,-0.072825796,0.347860861,-0.06139058,-0.012034967,0.032991851,0.232356275,0.371368662,0.071587614,0.018949735,0.085322054,0.113359583
ETA_shape_p,-0.05299338,0.328004434,0.193123484,0.193059494,-0.213910424,-0.009618028,-0.025874811,-0.044711454,1,0.003772974,0.135575179,0.393170561,0.704447136,-0.127699223,-0.378588018,0.39145192,0.183667396,0.075166817,0.319088763,0.340785177,-0.026972997,0.329182834,-0.434798735,0.391288832,0.096641125,-0.11594228,0.346289154,-0.071259137,-0.188590022
ATSC4d,0.052843416,0.237113966,-0.179595538,-0.169425211,0.078366189,0.074400994,-0.088877021,0.213741586,0.003772974,1,0.38570249,0.117409364,0.077642951,-0.028383082,0.074763285,-0.018690827,0.132941658,0.125448759,0.31030796,0.180614795,-0.201060469,0.219817999,-0.23348263,0.102213159,-0.247966495,-0.08992424,-0.034442616,-0.299498372,0.05742392
